nlsy_name,readable_name,survey_year,label
C0000100,childid,invariant,id code of child
C0000200,momid,invariant,id code of mother of child
C0005800,birth_order,invariant,birth order of child
C0564000,anxiety_mood,1986,ch has sud chgs in mood/feelng
C0564100,anxiety_complain,1986,ch cmplns no one loves him/her
C0564200,headstrong_tense,1986,"ch is high strung, tense, nerv"
C0564300,antisocial_cheat,1986,child cheats or tells lies
C0564400,anxiety_fearful,1986,ch is too fearful or anxious
C0564500,headstrong_argues,1986,child argues too much
C0564600,hyperactive_concentration,1986,ch has diff concentrating
C0564700,hyperactive_confused,1986,ch is easily confused/in fog
C0564800,antisocial_bully,1986,ch bullies/is cruel to others
C0564900,headstrong_disob_home,1986,ch is disobedient at home
C0565000,antisocial_notsorry,1986,ch not sorry after misbehaving
C0565100,peer_getalong,1986,trbl gettng along w/oth chldrn
C0565200,hyperactive_impulsive,1986,"impulsive, acts w/out thinking"
C0565300,anxiety_worthless,1986,ch feels worthless or inferior
C0565400,peer_notliked,1986,ch not liked by other children
C0565500,hyperactive_thoughts,1986,diff getting mind off thoughts
C0565600,hyperactive_restless,1986,ch is restless or over active
C0565700,headstrong_stubborn,1986,"ch stubborn, sullen, irritable"
C0565800,headstrong_temper,1986,child has a very strong temper
C0565900,anxiety_sad,1986,child is unhappy/sad/depressed
C0566000,peer_withdrawn,1986,child is withdrawn
C0566100,antisocial_break,1986,child breaks things on purpose
C0566200,dependent_clings,1986,child clings to adults
C0566300,dependent_cries,1986,child cries too much
C0566400,dependent_attention,1986,chd demands lots of attention
C0566500,dependent_dependent,1986,child too dependent on others
C0566600,antisocial_disob_school,1986,ch is disobedient at school
C0566700,antisocial_teachers,1986,trouble getting along w/tchrs
C0780800,anxiety_mood,1988,ch has sud chgs in mood/feelng
C0780900,anxiety_complain,1988,ch cmplns no one loves him/her
C0781000,headstrong_tense,1988,"ch is high strung, tense, nerv"
C0781100,antisocial_cheat,1988,child cheats or tells lies
C0781200,anxiety_fearful,1988,ch is too fearful or anxious
C0781300,headstrong_argues,1988,child argues too much
C0781400,hyperactive_concentration,1988,ch has diff concentrating
C0781500,hyperactive_confused,1988,ch is easily confused/in fog
C0781600,antisocial_bully,1988,ch bullies/is cruel to others
C0781700,headstrong_disob_home,1988,ch is disobedient at home
C0781800,antisocial_notsorry,1988,ch not sorry after misbehaving
C0781900,peer_getalong,1988,trbl gettng along w/oth chldrn
C0782000,hyperactive_impulsive,1988,"impulsive, acts w/out thinking"
C0782100,anxiety_worthless,1988,ch feels worthless or inferior
C0782200,peer_notliked,1988,ch not liked by other children
C0782300,hyperactive_thoughts,1988,diff getting mind off thoughts
C0782400,hyperactive_restless,1988,ch is restless or over active
C0782500,headstrong_stubborn,1988,"ch stubborn, sullen, irritable"
C0782600,headstrong_temper,1988,child has a very strong temper
C0782700,anxiety_sad,1988,child is unhappy/sad/depressed
C0782800,peer_withdrawn,1988,child is withdrawn
C0782900,antisocial_break,1988,child breaks things on purpose
C0783000,dependent_clings,1988,child clings to adults
C0783100,dependent_cries,1988,child cries too much
C0783200,dependent_attention,1988,chd demands lots of attention
C0783300,dependent_dependent,1988,child too dependent on others
C0783400,antisocial_disob_school,1988,ch is disobedient at school
C0783500,antisocial_teachers,1988,trouble getting along w/tchrs
C0783600,additional_gethim,1988,feels othrs out to get him/her
C0783700,additional_hangout,1988,hang arnd kids who get in trbl
C0783800,additional_secretive,1988,child is secretive
C0783900,additional_worries,1988,child worries too much
C0983800,anxiety_mood,1990,ch has sud chgs in mood/feelng
C0983900,anxiety_complain,1990,ch cmplns no one loves him/her
